date,region,infected,recovered,population,mobility
2020-03-01,Alabama,0.0,0,4903185.0,1.0
2020-03-02,Alabama,0.0,0,4903185.0,1.0
2020-03-03,Alabama,0.0,0,4903185.0,1.0
2020-03-04,Alabama,0.0,0,4903185.0,1.0
2020-03-05,Alabama,0.0,0,4903185.0,1.0
2020-03-06,Alabama,0.0,0,4903185.0,1.0
2020-03-07,Alabama,0.0,0,4903185.0,1.0
2020-03-08,Alabama,0.0,0,4903185.0,1.0
2020-03-09,Alabama,0.0,0,4903185.0,1.0
2020-03-10,Alabama,0.0,0,4903185.0,1.0
2020-03-11,Alabama,0.0,0,4903185.0,1.0
2020-03-12,Alabama,0.0,0,4903185.0,1.0
2020-03-13,Alabama,6.0,0,4903185.0,1.0
2020-03-14,Alabama,12.0,0,4903185.0,1.0
2020-03-15,Alabama,23.0,0,4903185.0,1.0
2020-03-16,Alabama,29.0,0,4903185.0,1.0
2020-03-17,Alabama,39.0,0,4903185.0,1.0
2020-03-18,Alabama,51.0,0,4903185.0,1.0
2020-03-19,Alabama,78.0,0,4903185.0,1.0
2020-03-20,Alabama,106.0,0,4903185.0,1.0
2020-03-21,Alabama,131.0,0,4903185.0,1.0
2020-03-22,Alabama,157.0,0,4903185.0,1.0
2020-03-23,Alabama,196.0,0,4903185.0,1.0
2020-03-24,Alabama,242.0,0,4903185.0,1.0
2020-03-25,Alabama,385.0,0,4903185.0,1.0
2020-03-26,Alabama,535.0,0,4903185.0,1.0
2020-03-27,Alabama,635.0,0,4903185.0,1.0
2020-03-28,Alabama,716.0,0,4903185.0,1.0
2020-03-29,Alabama,825.0,0,4903185.0,1.0
2020-03-30,Alabama,936.0,0,4903185.0,1.0
2020-03-31,Alabama,985.0,0,4903185.0,1.0
2020-04-01,Alabama,1080.0,0,4903185.0,1.0
2020-04-02,Alabama,1238.0,0,4903185.0,1.0
2020-04-03,Alabama,1497.0,0,4903185.0,1.0
2020-04-04,Alabama,1588.0,0,4903185.0,1.0
2020-04-05,Alabama,1795.0,0,4903185.0,1.0
2020-04-06,Alabama,1952.0,0,4903185.0,1.0
2020-04-07,Alabama,2133.0,0,4903185.0,1.0
2020-04-08,Alabama,2431.0,0,4903185.0,1.0
2020-04-09,Alabama,2760.0,0,4903185.0,1.0
2020-04-10,Alabama,2928.0,0,4903185.0,1.0
2020-04-11,Alabama,3169.0,0,4903185.0,1.0
2020-04-12,Alabama,3490.0,0,4903185.0,1.0
2020-04-13,Alabama,3701.0,0,4903185.0,1.0
2020-04-14,Alabama,3839.0,0,4903185.0,1.0
2020-04-15,Alabama,4118.0,0,4903185.0,1.0
2020-04-16,Alabama,4267.0,0,4903185.0,1.0
2020-04-17,Alabama,4421.0,0,4903185.0,1.0
2020-04-18,Alabama,4576.0,0,4903185.0,1.0
2020-04-19,Alabama,4743.0,0,4903185.0,1.0
2020-04-20,Alabama,4914.0,0,4903185.0,1.0
2020-04-21,Alabama,5141.0,0,4903185.0,1.0
2020-04-22,Alabama,5409.0,0,4903185.0,1.0
2020-04-23,Alabama,5635.0,0,4903185.0,1.0
2020-04-24,Alabama,5817.0,0,4903185.0,1.0
2020-04-25,Alabama,6000.0,0,4903185.0,1.0
2020-04-26,Alabama,6202.0,0,4903185.0,1.0
2020-04-27,Alabama,6311.0,0,4903185.0,1.0
2020-04-28,Alabama,6508.0,0,4903185.0,1.0
2020-04-29,Alabama,6663.0,0,4903185.0,1.0
2020-04-30,Alabama,6796.0,0,4903185.0,1.0
2020-05-01,Alabama,7005.0,0,4903185.0,1.0
2020-05-02,Alabama,7323.0,0,4903185.0,1.0
2020-05-03,Alabama,7598.0,0,4903185.0,1.0
2020-05-04,Alabama,7814.0,0,4903185.0,1.0
2020-05-05,Alabama,8122.0,0,4903185.0,1.0
2020-05-06,Alabama,8348.0,0,4903185.0,1.0
2020-05-07,Alabama,8677.0,0,4903185.0,1.0
2020-05-08,Alabama,9002.0,0,4903185.0,1.0
2020-05-09,Alabama,9278.0,0,4903185.0,1.0
2020-05-10,Alabama,9496.0,0,4903185.0,1.0
2020-05-11,Alabama,9761.0,0,4903185.0,1.0
2020-05-12,Alabama,10029.0,0,4903185.0,1.0
2020-05-13,Alabama,10250.0,0,4903185.0,1.0
2020-05-14,Alabama,10628.0,0,4903185.0,1.0
2020-05-15,Alabama,10890.0,0,4903185.0,1.0
2020-05-16,Alabama,11189.0,0,4903185.0,1.0
2020-05-17,Alabama,11283.0,0,4903185.0,1.0
2020-05-18,Alabama,11597.0,0,4903185.0,1.0
2020-05-19,Alabama,11872.0,0,4903185.0,1.0
2020-05-20,Alabama,12530.0,0,4903185.0,1.0
2020-05-21,Alabama,12885.0,0,4903185.0,1.0
2020-05-22,Alabama,5178.0,7951,4903185.0,1.0
2020-05-23,Alabama,5649.0,7951,4903185.0,1.0
2020-05-24,Alabama,5976.0,7951,4903185.0,1.0
2020-05-25,Alabama,6469.0,7951,4903185.0,1.0
2020-05-26,Alabama,7119.0,7951,4903185.0,1.0
2020-05-27,Alabama,7498.0,7951,4903185.0,1.0
2020-05-28,Alabama,6584.0,9355,4903185.0,1.0
2020-05-29,Alabama,7066.0,9355,4903185.0,1.0
2020-05-30,Alabama,7386.0,9355,4903185.0,1.0
2020-05-31,Alabama,7967.0,9355,4903185.0,1.0
2020-06-01,Alabama,8533.0,9355,4903185.0,1.0
2020-06-02,Alabama,8763.0,9355,4903185.0,1.0
2020-06-03,Alabama,6803.0,11395,4903185.0,1.0
2020-06-04,Alabama,7024.0,11395,4903185.0,1.0
2020-06-05,Alabama,7316.0,11395,4903185.0,1.0
2020-06-06,Alabama,7959.0,11395,4903185.0,1.0
2020-06-07,Alabama,8413.0,11395,4903185.0,1.0
2020-06-08,Alabama,8812.0,11395,4903185.0,1.0
2020-06-09,Alabama,9298.0,11395,4903185.0,1.0
2020-06-10,Alabama,7737.0,13508,4903185.0,1.0
2020-06-11,Alabama,8582.0,13508,4903185.0,1.0
2020-06-12,Alabama,9433.0,13508,4903185.0,1.0
2020-06-13,Alabama,10320.0,13508,4903185.0,1.0
2020-06-14,Alabama,11334.0,13508,4903185.0,1.0
2020-06-15,Alabama,11990.0,13508,4903185.0,1.0
2020-06-16,Alabama,12619.0,13508,4903185.0,1.0
2020-06-17,Alabama,10548.0,15974,4903185.0,1.0
2020-06-18,Alabama,11422.0,15974,4903185.0,1.0
2020-06-19,Alabama,12206.0,15974,4903185.0,1.0
2020-06-20,Alabama,12737.0,15974,4903185.0,1.0
2020-06-21,Alabama,13208.0,15974,4903185.0,1.0
2020-06-22,Alabama,13639.0,15974,4903185.0,1.0
2020-06-23,Alabama,14259.0,15974,4903185.0,1.0
2020-06-24,Alabama,12307.0,18866,4903185.0,1.0
2020-06-25,Alabama,13444.0,18866,4903185.0,1.0
2020-06-26,Alabama,14410.0,18866,4903185.0,1.0
2020-06-27,Alabama,15298.0,18866,4903185.0,1.0
2020-06-28,Alabama,15656.0,18866,4903185.0,1.0
2020-06-29,Alabama,17380.0,18866,4903185.0,1.0
2020-06-30,Alabama,18229.0,18866,4903185.0,1.0
2020-07-01,Alabama,19124.0,18866,4903185.0,1.0
2020-07-02,Alabama,17044.0,22082,4903185.0,1.0
2020-07-03,Alabama,18777.0,22082,4903185.0,1.0
2020-07-04,Alabama,19773.0,22082,4903185.0,1.0
2020-07-05,Alabama,20864.0,22082,4903185.0,1.0
2020-07-06,Alabama,21789.0,22082,4903185.0,1.0
2020-07-07,Alabama,22670.0,22082,4903185.0,1.0
2020-07-08,Alabama,23822.0,22082,4903185.0,1.0
2020-07-09,Alabama,22323.0,25783,4903185.0,1.0
2020-07-10,Alabama,23621.0,25783,4903185.0,1.0
2020-07-11,Alabama,25050.0,25783,4903185.0,1.0
2020-07-12,Alabama,26683.0,25783,4903185.0,1.0
2020-07-13,Alabama,28638.0,25783,4903185.0,1.0
2020-07-14,Alabama,30308.0,25783,4903185.0,1.0
2020-07-15,Alabama,28120.0,29736,4903185.0,1.0
2020-07-16,Alabama,30122.0,29736,4903185.0,1.0
2020-07-17,Alabama,32090.0,29736,4903185.0,1.0
2020-07-18,Alabama,34212.0,29736,4903185.0,1.0
2020-07-19,Alabama,35988.0,29736,4903185.0,1.0
2020-07-20,Alabama,37864.0,29736,4903185.0,1.0
2020-07-21,Alabama,39319.0,29736,4903185.0,1.0
2020-07-22,Alabama,40713.0,29736,4903185.0,1.0
2020-07-23,Alabama,40305.0,32510,4903185.0,1.0
2020-07-24,Alabama,42057.0,32510,4903185.0,1.0
2020-07-25,Alabama,44164.0,32510,4903185.0,1.0
2020-07-26,Alabama,45311.0,32510,4903185.0,1.0
2020-07-27,Alabama,47114.0,32510,4903185.0,1.0
2020-07-28,Alabama,48365.0,32510,4903185.0,1.0
2020-07-29,Alabama,49734.0,32510,4903185.0,1.0
2020-07-30,Alabama,48796.0,35401,4903185.0,1.0
2020-07-31,Alabama,50742.0,35401,4903185.0,1.0
2020-08-01,Alabama,52345.0,35401,4903185.0,1.0
2020-08-02,Alabama,54416.0,35401,4903185.0,1.0
2020-08-03,Alabama,55627.0,35401,4903185.0,1.0
2020-08-04,Alabama,56635.0,35401,4903185.0,1.0
2020-08-05,Alabama,55036.0,37923,4903185.0,1.0
2020-08-06,Alabama,56955.0,37923,4903185.0,1.0
2020-08-07,Alabama,58643.0,37923,4903185.0,1.0
2020-08-08,Alabama,60495.0,37923,4903185.0,1.0
2020-08-09,Alabama,61643.0,37923,4903185.0,1.0
2020-08-10,Alabama,63300.0,37923,4903185.0,1.0
2020-08-11,Alabama,64081.0,37923,4903185.0,1.0
2020-08-12,Alabama,61381.0,41523,4903185.0,1.0
2020-08-13,Alabama,62144.0,41523,4903185.0,1.0
2020-08-14,Alabama,62893.0,41523,4903185.0,1.0
2020-08-15,Alabama,64161.0,41523,4903185.0,1.0
2020-08-16,Alabama,65012.0,41523,4903185.0,1.0
2020-08-17,Alabama,65556.0,41523,4903185.0,1.0
2020-08-18,Alabama,66902.0,41523,4903185.0,1.0
2020-08-19,Alabama,68011.0,41523,4903185.0,1.0
2020-08-20,Alabama,65791.0,44684,4903185.0,1.0
2020-08-21,Alabama,66952.0,44684,4903185.0,1.0
2020-08-22,Alabama,67837.0,44684,4903185.0,1.0
2020-08-23,Alabama,68363.0,44684,4903185.0,1.0
2020-08-24,Alabama,70002.0,44684,4903185.0,1.0
2020-08-25,Alabama,70521.0,44684,4903185.0,1.0
2020-08-26,Alabama,69181.0,48028,4903185.0,1.0
2020-08-27,Alabama,70919.0,48028,4903185.0,1.0
2020-08-28,Alabama,72050.0,48028,4903185.0,1.0
2020-08-29,Alabama,73709.0,48028,4903185.0,1.0
2020-08-30,Alabama,75045.0,48028,4903185.0,1.0
2020-08-31,Alabama,75848.0,48028,4903185.0,1.0
2020-09-01,Alabama,77388.0,48028,4903185.0,1.0
2020-09-02,Alabama,74868.0,51154,4903185.0,1.0
2020-09-03,Alabama,75898.0,51154,4903185.0,1.0
2020-09-04,Alabama,76973.0,51154,4903185.0,1.0
2020-09-05,Alabama,78374.0,51154,4903185.0,1.0
2020-09-06,Alabama,78884.0,51154,4903185.0,1.0
2020-09-07,Alabama,79543.0,51154,4903185.0,1.0
2020-09-08,Alabama,80175.0,51154,4903185.0,1.0
2020-09-09,Alabama,77909.0,54223,4903185.0,1.0
2020-09-10,Alabama,79041.0,54223,4903185.0,1.0
2020-09-11,Alabama,80147.0,54223,4903185.0,1.0
2020-09-12,Alabama,81073.0,54223,4903185.0,1.0
2020-09-13,Alabama,82181.0,54223,4903185.0,1.0
2020-09-14,Alabama,82881.0,54223,4903185.0,1.0
2020-09-15,Alabama,83550.0,54223,4903185.0,1.0
2020-09-16,Alabama,77463.0,61232,4903185.0,1.0
2020-09-17,Alabama,78124.0,61232,4903185.0,1.0
2020-09-18,Alabama,79203.0,61232,4903185.0,1.0
2020-09-19,Alabama,80495.0,61232,4903185.0,1.0
2020-09-20,Alabama,81293.0,61232,4903185.0,1.0
2020-09-21,Alabama,82109.0,61232,4903185.0,1.0
